이름,비고,저자,파일과 미디어,출판사,문해력 수준,분야,상태,시작,완료,연,월,읽은 기간,읽은 일수,평점,한 줄 평,회독수,읽은 사람,이번 년도에 읽을 책,등록여부,출판일
마음을 배달해 드립니다,2학년이 처음 읽기 좋은 책,박현숙,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%86%E1%85%A1%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%8B%E1%85%B3%E1%86%AF_%E1%84%87%E1%85%A2%E1%84%83%E1%85%A1%E1%86%AF%E1%84%92%E1%85%A2_%E1%84%83%E1%85%B3%E1%84%85%E1%85%B5%E1%86%B8%E1%84%82%E1%85%B5%E1%84%83%E1%85%A1.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
냄비와 국자 전쟁,2학년이 처음 읽기 좋은 책,미하엘 엔데,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%82%E1%85%A2%E1%86%B7%E1%84%87%E1%85%B5%E1%84%8B%E1%85%AA_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%8C%E1%85%A1_%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%8C%E1%85%A2%E1%86%BC.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
꽃들에게 희망을,2학년이 처음 읽기 좋은 책,트리나 폴러스,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%81%E1%85%A9%E1%86%BE%E1%84%83%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A6%E1%84%80%E1%85%A6_%E1%84%92%E1%85%B4%E1%84%86%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%AF.jpg,시공주니어,초2,그림책,읽기 전,,,,,,,,,,,No,No,
그 소문 들었어?,2학년이 처음 읽기 좋은 책,하야시 기린,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%80%E1%85%B3_%E1%84%89%E1%85%A9%E1%84%86%E1%85%AE%E1%86%AB_%E1%84%83%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A5%E1%86%BB%E1%84%8B%E1%85%A5.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
귀신보다 더 무서워,2학년이 처음 읽기 좋은 책,허은순,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%80%E1%85%B1%E1%84%89%E1%85%B5%E1%86%AB%E1%84%87%E1%85%A9%E1%84%83%E1%85%A1_%E1%84%83%E1%85%A5_%E1%84%86%E1%85%AE%E1%84%89%E1%85%A5%E1%84%8B%E1%85%AF.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
"헉, 나만 다른 반이라고?",나탈리 다르장,나탈리 다르장,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%92%E1%85%A5%E1%86%A8_%E1%84%82%E1%85%A1%E1%84%86%E1%85%A1%E1%86%AB_%E1%84%83%E1%85%A1%E1%84%85%E1%85%B3%E1%86%AB_%E1%84%87%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A1%E1%84%80%E1%85%A9.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
"힝, 나만 남으라고?",나탈리 다르장,나탈리 다르장,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%92%E1%85%B5%E1%86%BC_%E1%84%82%E1%85%A1%E1%84%86%E1%85%A1%E1%86%AB_%E1%84%82%E1%85%A1%E1%86%B7%E1%84%8B%E1%85%B3%E1%84%85%E1%85%A1%E1%84%80%E1%85%A9.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
친구가 욕을 해요,나탈리 다르장,나탈리 다르장,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8E%E1%85%B5%E1%86%AB%E1%84%80%E1%85%AE%E1%84%80%E1%85%A1_%E1%84%8B%E1%85%AD%E1%86%A8%E1%84%8B%E1%85%B3%E1%86%AF_%E1%84%92%E1%85%A2%E1%84%8B%E1%85%AD.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
용돈이 다 어디 갔지?,나탈리 다르장,나탈리 다르장,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%83%E1%85%A9%E1%86%AB%E1%84%8B%E1%85%B5_%E1%84%83%E1%85%A1_%E1%84%8B%E1%85%A5%E1%84%83%E1%85%B5_%E1%84%80%E1%85%A1%E1%86%BB%E1%84%8C%E1%85%B5.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
"쉿, 비밀 투표야!",나탈리 다르장,나탈리 다르장,%EB%8F%85%EC%84%9C%20%EB%85%B8%ED%8A%B8/%E1%84%89%E1%85%B1%E1%86%BA_%E1%84%87%E1%85%B5%E1%84%86%E1%85%B5%E1%86%AF_%E1%84%90%E1%85%AE%E1%84%91%E1%85%AD%E1%84%8B%E1%85%A3!.jpg,,초2,그림책,읽기 전,,,,,,,,,,,No,No,
